"cid","site","rugosity"
321,"Cold",0.0446456141001396
167,"Cold",0.122025733181187
411,"Cold",0.0587154583911677
261,"Cold",0.0662938837230597
429,"Cold",0.14469878189544
74,"Cold",0.129053334005421
399,"Cold",0.171638196246716
532,"Cold",0.163110381380984
200,"Cold",0.174955575958855
498,"Cold",0.0623768365479616
584,"Cold",0.0390608115848557
539,"Cold",0.0671023202776092
164,"Cold",0.154807235640815
396,"Cold",0.0673652360772734
84,"Cold",0.20771750791766
81,"Cold",0.22077695053123
325,"Cold",0.0497954934948642
126,"Cold",0.247159561500705
523,"Cold",0.110234164386815
330,"Cold",0.0503204389576526
529,"Cold",0.159024317427066
592,"Cold",0.0440164409650951
435,"Cold",0.0614064549350422
581,"Cold",0.168482184970094
44,"Cold",0.072532625694476
297,"Cold",0.112237156519638
512,"Cold",0.151470253982759
565,"Cold",0.0490996031980477
182,"Cold",0.199983080495821
192,"Cold",0.117946498078367
269,"Cold",0.165196324788798
250,"Cold",0.15414510136665
196,"Cold",0.0513674651847607
575,"Cold",0.161211668346318
460,"Cold",0.0696820775162115
258,"Cold",0.0877005388336003
362,"Cold",0.15426413648867
285,"Cold",0.0493967117978373
113,"Cold",0.231124250595253
309,"Cold",0.200114177554756
444,"Cold",0.168933325777847
67,"Cold",0.141955453395876
11,"Cold",0.150268227170913
26,"Cold",0.175872383696379
134,"Cold",0.199668810297412
212,"Cold",0.117134592164053
480,"Cold",0.0756228686686781
8,"Cold",0.133349764295495
301,"Cold",0.0965606585738985
122,"Cold",0.181075042932746
77,"Cold",0.136332401299685
314,"Cold",0.183553628082036
568,"Cold",0.0579639563064103
526,"Cold",0.0783617964032939
366,"Cold",0.0439699669669526
392,"Cold",0.0418583217925645
338,"Cold",0.171202681118571
35,"Cold",0.13423710849249
41,"Cold",0.190140952142606
243,"Cold",0.234932586588349
87,"Cold",0.121984279072109
453,"Cold",0.0693342024034662
578,"Cold",0.16228641754707
350,"Cold",0.0387748255736359
93,"Cold",0.137227386478232
242,"Cold",0.0681640992092115
139,"Cold",0.164338835208373
2,"Cold",0.145868129640337
419,"Cold",0.143652982053652
424,"Cold",0.134955603650294
356,"Cold",0.161480360284691
493,"Cold",0.136076335544564
550,"Cold",0.0229003579165445
381,"Cold",0.140707762795089
231,"Cold",0.160705782845405
487,"Cold",0.185198034599038
289,"Cold",0.199974635444581
15,"Cold",0.156380221301547
255,"Cold",0.118743967621808
386,"Cold",0.0390283389306188
448,"Cold",0.144846689601413
172,"Cold",0.0730736601488812
176,"Cold",0.0507052360241606
536,"Cold",0.152032194740814
206,"Cold",0.150599625718523
118,"Cold",0.105429897702298
224,"Cold",0.158619930631207
130,"Cold",0.0642575021118736
3,"CorralsTrail",0.426740985469476
7,"CorralsTrail",0.0375499546615374
12,"CorralsTrail",0.324157889836181
16,"CorralsTrail",0.213011351286785
19,"CorralsTrail",0.0213114662006578
21,"CorralsTrail",0.191380947682675
25,"CorralsTrail",0.222587896690371
27,"CorralsTrail",0.326679096957023
32,"CorralsTrail",0.123697949059949
33,"CorralsTrail",0.0098683188847113
40,"CorralsTrail",0.0160277892113126
42,"CorralsTrail",0.0135752919395965
45,"CorralsTrail",0.140139436378618
47,"CorralsTrail",0.012779818926421
48,"CorralsTrail",0.0080279068414282
50,"CorralsTrail",0.173253019043222
53,"CorralsTrail",0.0111610910575967
57,"CorralsTrail",0.298626659676509
59,"CorralsTrail",0.214828613498666
60,"CorralsTrail",0.163108276777323
66,"CorralsTrail",0.0797911787979384
71,"CorralsTrail",0.122771600759192
74,"CorralsTrail",0.0126498539589204
80,"CorralsTrail",0.0162368367852951
98,"CorralsTrail",0.277017270294283
111,"CorralsTrail",0.136487565946863
114,"CorralsTrail",0.0107375425756087
118,"CorralsTrail",0.133704748700844
123,"CorralsTrail",0.431021663810727
127,"CorralsTrail",0.0154173711824218
321,"CorralsTrail",0.217544624184815
411,"CorralsTrail",0.031924889734996
261,"CorralsTrail",0.258488326738858
390,"CorralsTrail",0.382486168701068
429,"CorralsTrail",0.506749548985797
399,"CorralsTrail",0.519436851782456
532,"CorralsTrail",0.579765693379186
642,"CorralsTrail",0.0542821403327234
690,"CorralsTrail",0.434998986725008
635,"CorralsTrail",0.454060695294981
539,"CorralsTrail",0.1238546904107
396,"CorralsTrail",0.510503972099363
523,"CorralsTrail",0.0191570981843076
330,"CorralsTrail",0.339905635779965
648,"CorralsTrail",0.196527364912123
529,"CorralsTrail",0.306833967747314
595,"CorralsTrail",0.0214260322507384
698,"CorralsTrail",0.0122403642085783
451,"CorralsTrail",0.0941051589104922
686,"CorralsTrail",0.261144452841555
457,"CorralsTrail",0.424556028697248
627,"CorralsTrail",0.0449414142049542
512,"CorralsTrail",0.533232054067175
667,"CorralsTrail",0.423573441508951
182,"CorralsTrail",0.296300899330448
269,"CorralsTrail",0.377577605932679
555,"CorralsTrail",0.148884020980337
679,"CorralsTrail",0.433388786308267
258,"CorralsTrail",0.47007350822277
577,"CorralsTrail",0.0328804756979014
309,"CorralsTrail",0.0100077578696259
444,"CorralsTrail",0.21442861475141
383,"CorralsTrail",0.0156779097114764
639,"CorralsTrail",0.283136666704777
212,"CorralsTrail",0.230628088573483
301,"CorralsTrail",0.377638135106704
314,"CorralsTrail",0.0131102991788024
338,"CorralsTrail",0.501373617662314
243,"CorralsTrail",0.0128018433287722
621,"CorralsTrail",0.594693169765046
455,"CorralsTrail",0.309551187078056
179,"CorralsTrail",0.382812939500918
281,"CorralsTrail",0.41852549604092
327,"CorralsTrail",0.481611089805548
544,"CorralsTrail",0.297961688741972
272,"CorralsTrail",0.0325885954520021
660,"CorralsTrail",0.016699730017213
536,"CorralsTrail",0.630967008742298
405,"CorralsTrail",0.083194102369499
518,"CorralsTrail",0.495584848680776
298,"CorralsTrail",0.0706172744253229
515,"CorralsTrail",0.315518598950614
526,"CorralsTrail",0.440887457639722
289,"CorralsTrail",0.252148884767218
581,"CorralsTrail",0.317878634240836
472,"CorralsTrail",0.0120356107557255
346,"CorralsTrail",0.0105125125825263
353,"CorralsTrail",0.425126249310374
230,"CorralsTrail",0.429664955553376
284,"CorralsTrail",0.377972328634502
584,"CorralsTrail",0.468601393237942
467,"CorralsTrail",0.320052359652361
693,"CorralsTrail",0.222200495184579
386,"CorralsTrail",0.0671391493684107
221,"CorralsTrail",0.461418190928921
598,"CorralsTrail",0.535609209818412
653,"CorralsTrail",0.214835275163242
468,"InitialPointBurn",0.0344146654042953
418,"InitialPointBurn",0.032997813022248
370,"InitialPointBurn",0.523652163810691
337,"InitialPointBurn",0.351215048148246
209,"InitialPointBurn",0.0418191894208049
230,"InitialPointBurn",0.414417585447186
33,"InitialPointBurn",0.462564753139097
